,DATE,VALUE,Date,BCI_Value,,BCI-Oil,ëää÷åWêî
0,2015/9/1,45.51,2015/8/31,1071,,0,-0.07110785
1,2015/8/1,42.87,2015/7/31,2209,,1,-0.100967573
2,2015/7/1,50.9,2015/6/30,1292,,2,-0.179517339
3,2015/6/1,59.82,2015/5/31,810,,3,-0.198921161
4,2015/5/1,59.27,2015/4/30,565,,4,-0.19805563
5,2015/4/1,54.45,2015/3/31,475,,5,-0.181097122
6,2015/3/1,47.82,2015/2/28,521,,-1,-0.084408589
7,2015/2/1,50.58,2015/1/31,679,,-2,-0.028913412
8,2015/1/1,47.22,2014/12/31,474,,-3,0.000752835
9,2014/12/1,59.29,2014/11/30,2151,,-4,0.034623117
10,2014/11/1,75.79,2014/10/31,3552,,-5,0.031583597
11,2014/10/1,84.4,2014/9/30,1915,,,
12,2014/9/1,93.21,2014/8/31,2627,,,
13,2014/8/1,96.54,2014/7/31,1195,,,
14,2014/7/1,103.59,2014/6/30,1871,,,
15,2014/6/1,105.79,2014/5/31,1395,,,
16,2014/5/1,102.18,2014/4/30,1600,,,
17,2014/4/1,102.07,2014/3/31,2573,,,
18,2014/3/1,100.8,2014/2/28,2084,,,
19,2014/2/1,100.82,2014/1/31,1524,,,
20,2014/1/1,94.62,2013/12/31,4078,,,
21,2013/12/1,97.63,2013/11/30,3089,,,
22,2013/11/1,93.86,2013/10/31,2245,,,
23,2013/10/1,100.54,2013/9/30,3853,,,
24,2013/9/1,106.29,2013/8/31,2243,,,
25,2013/8/1,106.57,2013/7/31,1881,,,
26,2013/7/1,104.67,2013/6/30,2165,,,
27,2013/6/1,95.77,2013/5/31,1336,,,
28,2013/5/1,94.51,2013/4/30,1273,,,
29,2013/4/1,92.02,2013/3/31,1249,,,
30,2013/3/1,92.94,2013/2/28,1249,,,
31,2013/2/1,95.31,2013/1/31,1468,,,
32,2013/1/1,94.76,2012/12/31,1235,,,
33,2012/12/1,87.86,2012/11/30,2199,,,
34,2012/11/1,86.53,2012/10/31,2419,,,
35,2012/10/1,89.49,2012/9/30,1621,,,
36,2012/9/1,94.51,2012/8/31,1172,,,
37,2012/8/1,94.13,2012/7/31,1194,,,
38,2012/7/1,87.9,2012/6/30,1190,,,
39,2012/6/1,82.3,2012/5/31,1319,,,
40,2012/5/1,94.65,2012/4/30,1496,,,
41,2012/4/1,103.32,2012/3/31,1412,,,
42,2012/3/1,106.16,2012/2/29,1531,,,
43,2012/2/1,102.2,2012/1/31,1447,,,
44,2012/1/1,100.27,2011/12/31,3287,,,
45,2011/12/1,98.56,2011/11/30,3298,,,
46,2011/11/1,97.16,2011/10/31,3132,,,
47,2011/10/1,86.32,2011/9/30,3136,,,
48,2011/9/1,85.52,2011/8/31,2598,,,
49,2011/8/1,86.33,2011/7/31,1749,,,
50,2011/7/1,97.3,2011/6/30,2036,,,
51,2011/6/1,96.26,2011/5/31,1874,,,
52,2011/5/1,100.9,2011/4/30,1564,,,
53,2011/4/1,109.53,2011/3/31,1768,,,
54,2011/3/1,102.86,2011/2/28,1310,,,
55,2011/2/1,88.58,2011/1/31,1351,,,
56,2011/1/1,89.17,2010/12/31,2346,,,
57,2010/12/1,89.15,2010/11/30,2910,,,
58,2010/11/1,84.25,2010/10/31,4262,,,
59,2010/10/1,81.89,2010/9/30,3370,,,
60,2010/9/1,75.24,2010/8/31,3516,,,
61,2010/8/1,76.6,2010/7/31,1922,,,
62,2010/7/1,76.32,2010/6/30,2711,,,
63,2010/6/1,75.34,2010/5/31,5217,,,
64,2010/5/1,73.74,2010/4/30,3936,,,
65,2010/4/1,84.29,2010/3/31,3425,,,
66,2010/3/1,81.2,2010/2/28,3174,,,
67,2010/2/1,76.39,2010/1/31,3494,,,
68,2010/1/1,78.33,2009/12/31,3887,,,
69,2009/12/1,74.47,2009/11/30,6189,,,
70,2009/11/1,77.99,2009/10/31,5047,,,
71,2009/10/1,75.72,2009/9/30,2846,,,
72,2009/9/1,69.41,2009/8/31,3946,,,
73,2009/8/1,71.04,2009/7/31,5385,,,
74,2009/7/1,64.15,2009/6/30,7241,,,
75,2009/6/1,69.64,2009/5/31,6125,,,
76,2009/5/1,59.03,2009/4/30,2348,,,
77,2009/4/1,49.65,2009/3/31,2066,,,